,origin,timestamp,tickLower,tickUpper,amount,amount0,amount1,transaction.blockNumber
1,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,2022-06-01,200550,200660,384623022911942786,-0.0,-48.0,14883094
2,0xa1a571a541a19b92798b6314b52057c367c45163,2022-06-01,200410,200800,52653427930467896,-16103.975624,-14.901102057792658,14882933
3,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,2022-06-01,200520,200590,605922157795459548,-0.0,-48.0001,14882619
4,0xd730cd62cda9cfdc109be2d819b0337fafdca959,2022-06-01,200130,200410,1827065750111539045,-0.0,-570.7611618598115,14882465
5,0x7521eda00e2ce05ac4a9d8353d096ccb970d5188,2022-06-01,200310,201940,0,-0.0,-0.0,14882266
6,0xc6dc7dfdb31814a46cdf0cb68cad4f6d894fad3f,2022-06-01,193810,195870,367052422051631,-0.0,-0.6433108217061558,14882258
7,0xc6dc7dfdb31814a46cdf0cb68cad4f6d894fad3f,2022-06-01,193810,195870,0,-0.0,-0.0,14882252
8,0x27f18241002c0d4899c08c76778dbb2229273dd5,2022-06-01,199960,200460,6256402925218634,-0.0,-3.479700488829474,14882020
9,0x2da054af93d06dc140ef84403a67ae7cea89df1c,2022-06-01,200640,200720,6833381057340815561,-1199999.999999,-0.0,14881990
10,0x8f2dc6afb0771e9eecc842d71f7599f8b2d33183,2022-06-01,197690,202540,0,-0.0,-0.0,14881898
11,0xa18b1b20be932a9f7a95573731d9b274e0e9d6ba,2022-06-01,197960,202970,0,-0.0,-0.0,14881811
12,0xa18b1b20be932a9f7a95573731d9b274e0e9d6ba,2022-06-01,198740,201420,606678263751301,-1047.033563,-1.236193741474414,14881791
13,0xa18b1b20be932a9f7a95573731d9b274e0e9d6ba,2022-06-01,198740,203470,2400167651891,-14.035053,-0.004890684910005779,14881791
14,0xa18b1b20be932a9f7a95573731d9b274e0e9d6ba,2022-06-01,198740,201420,0,-0.0,-0.0,14881791
15,0xa18b1b20be932a9f7a95573731d9b274e0e9d6ba,2022-06-01,198740,203470,0,-0.0,-0.0,14881791
16,0x2da054af93d06dc140ef84403a67ae7cea89df1c,2022-06-01,200590,200640,9081616656211662142,-898822.315463,-52.03216845840655,14881752
17,0x535026d766548f5523e29b410abe932e412196d7,2022-06-01,195730,196950,261177336634698260,-0.0,-292.1236406929277,14881435
18,0xd079f70a23f61fa6696ec55c2fdda1a93a99bcd3,2022-06-01,193380,200310,0,-0.0,-0.0,14881387
19,0xb7af28d9f4ecef16cb0f9e34463040f870138d58,2022-06-01,198700,203280,0,-0.0,-0.0,14881309
20,0x4603180bbb8221157880afaa84638e0fc467738d,2022-06-01,200540,200550,1835531392634113493294,-585544.050823,-20462.27662236529,14881298
21,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,2022-06-01,200380,200510,328064682627082859,-0.0,-48.0001,14881171
22,0x22ec8b44e5817570607dc69129c52e55fb0fe605,2022-06-01,189320,198140,608674403378225,-0.0,-4.354099024966964,14881099
23,0xfcfd4f6dda50e2dd3f7f54da8d0ca046c6d770a3,2022-06-01,199160,202080,33916306355320744,-109045.403415,-52.20917218302298,14881092
